code_commune_insee,agri_nul,resid_nul,autres_nul,rervice_nul,autres_faible,agri_faible,indus_nul,autres_fort,resid_moyen,rervice_fort,indus_moyen,rervice_moyen,autres_moyen,rervice_faible,resid_fort,agri_fort,resid_faible,agri_moyen,indus_faible,indus_fort,nb_bats_total,nb_bats_exposition_tri,pct_exposition_tri
31322,1,42,130,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0.0
31323,2,187,354,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0,0.0
31324,36,981,1812,61,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2914,0,0.0
31325,5,64,207,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0.0
31326,7,32,107,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0.0
31327,0,89,169,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0.0
31328,0,119,214,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0.0
31329,0,89,220,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0.0
31330,1,166,219,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0.0
31331,17,111,309,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0.0
31332,5,93,265,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0.0
31333,0,37,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0.0
31334,1,445,925,15,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1394,0,0.0
31335,0,59,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0.0
31336,10,316,712,30,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,0,0.0
31337,2,207,271,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0.0
31338,0,267,444,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,0,0.0
31339,6,167,466,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,0.0
31340,2,97,263,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0.0
31341,29,1641,2781,71,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,4561,0,0.0
31342,3,153,319,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,0.0
31343,1,35,138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0.0
31344,3,402,796,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,0,0.0
31345,7,869,1465,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2362,0,0.0
31346,6,411,694,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,0,0.0
31347,1,78,332,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0.0
31348,0,59,108,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0.0
31349,14,295,835,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,0,0.0
31350,6,52,228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0.0
31351,20,1281,2687,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4026,0,0.0
31352,3,87,210,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0.0
31353,9,33,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0.0
31354,2,20,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0.0
31355,6,595,1247,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1865,0,0.0
31356,9,592,1404,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2033,0,0.0
31357,28,149,478,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0,0.0
31358,20,1197,1461,105,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2785,0,0.0
31359,29,25,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0.0
31360,1,274,524,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,823,0,0.0
31361,3,205,483,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0.0
31362,4,101,348,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0.0
31363,4,127,558,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0.0
31364,4,1000,1839,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2867,0,0.0
31365,13,252,793,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,0,0.0
31366,3,226,500,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,0.0
31367,1,25,119,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0.0
31368,1,79,154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0.0
31369,0,28,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0.0
31370,28,46,164,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0.0
